roi_1	roi_2	roi_3	roi_4	roi_5	roi_6	roi_7	roi_8	roi_9	roi_10	roi_11	roi_12	roi_13	roi_14	roi_15	roi_16	roi_17
0.369764	0.279306	0.236088	0.232308	-0.063877	-1.437873	-0.032151	0.017649	-0.161294	-0.289242	0.434983	0.089768	0.336172	0.454707	-1.051277	0.678619	-0.018031
-0.203822	0.413713	0.061425	0.162595	0.217900	-0.797050	-0.003329	-0.014163	-0.463720	0.040316	0.840140	0.503813	0.577718	0.349237	-0.016158	0.755058	0.172616
0.105745	0.616314	-0.144747	0.698057	0.405449	-0.467120	0.306081	0.298655	-0.442154	-0.054558	0.475289	0.261658	-0.003547	0.187015	0.206373	0.526907	0.468642
0.120574	0.461652	0.055695	0.250648	-0.065647	-0.435568	0.374719	0.203146	-0.108078	0.048034	-0.134359	-0.333518	-0.237973	-0.058954	0.362648	0.505405	1.067123
0.025550	0.663995	0.734978	0.315533	-0.190381	-0.023498	0.517182	0.172954	0.143432	0.144793	-0.636456	-0.313356	-0.430218	-0.370922	0.387998	-0.359847	0.900169
0.488604	0.733035	1.050800	0.627893	-0.381671	-0.499648	0.183954	-0.165438	0.189638	-0.513969	-0.837022	0.276929	-0.422674	-0.091307	0.428395	-0.384154	0.303214
0.459334	1.100054	0.591619	0.089823	-0.824349	-0.225529	0.213475	-0.283258	0.166629	0.261439	-0.335945	0.282547	-0.278178	-0.005123	0.181708	0.057854	0.523031
0.921690	0.723854	1.031793	0.899045	-0.841121	0.289979	0.012532	0.323254	-0.038276	-0.032467	-0.223055	0.164373	-0.777418	-0.206689	0.076208	0.856123	0.669914
1.124604	0.238674	0.682486	0.955877	-1.011246	0.184330	0.383320	0.075919	0.182652	-0.263558	0.094167	-0.031741	-0.960935	0.352756	-0.657257	0.451184	0.100338
1.424081	0.331082	0.529262	0.950401	-0.957899	-0.336350	-0.210285	0.565169	-0.253217	0.059759	0.276444	-0.372341	-0.384453	0.171979	-0.446082	0.226428	0.309402
1.106287	0.536712	0.381000	0.856946	-0.917380	-0.338527	0.039933	0.381878	-0.125334	-0.761047	0.227024	0.142893	-0.100792	0.532494	0.274832	0.680872	0.257773
