roi_1	roi_2	roi_3	roi_4	roi_5	roi_6	roi_7	roi_8	roi_9	roi_10	roi_11	roi_12	roi_13	roi_14	roi_15	roi_16	roi_17
-0.171895	-0.199189	-0.321085	1.017178	0.228262	0.363532	-0.246244	-0.684503	1.326217	0.599824	-0.299910	-0.279739	-0.088789	-0.228277	0.013354	-0.178898	-0.246285
-0.106774	0.022690	0.222561	0.933668	0.202306	-0.283739	-1.027232	0.198440	0.978857	0.756602	0.437967	-0.429280	-0.057601	-0.147739	0.661184	-0.185120	-0.282734
-0.299368	-0.160077	-0.415826	0.956062	-0.814789	-0.170600	-0.530930	0.887445	0.729182	0.622549	0.489434	0.081264	-0.481717	0.226105	0.177135	-0.383122	-0.247144
-0.517935	-0.235967	-0.459774	0.945562	-0.897907	-0.011918	-0.636114	0.348948	0.430539	0.912289	0.933191	0.156947	-0.308899	0.305987	-0.099256	0.292829	-0.711796
-0.490867	-0.147814	-0.715431	0.797844	-1.064224	-0.038582	-0.722291	0.192011	-0.139785	0.799336	0.828663	0.255637	-0.009794	-0.038487	0.039178	0.164967	-0.952241
0.388023	-0.237030	-0.526620	0.450169	-0.482428	-0.170207	0.113737	0.550590	-0.515118	0.350724	0.623153	0.000515	-0.205925	0.525249	-0.220610	-0.130331	-0.634383
0.337836	0.076632	-0.368035	0.440702	-0.124564	-0.028550	-0.047939	0.338868	-0.564196	0.632148	0.426755	-0.020924	-0.460667	0.135592	-0.581733	-0.405313	-0.409018
0.383204	-0.514549	0.129722	0.021616	-0.450704	-0.467916	-0.001332	0.412523	-0.205619	0.760290	0.818742	0.376468	-0.380318	-0.329229	-0.683298	-0.194687	-0.435279
0.444787	0.169812	0.330159	0.572205	-0.358651	-0.153328	0.174417	0.642999	-0.006505	0.685591	0.695550	0.526096	-0.168229	-0.541531	-0.660211	-0.377027	-0.608855
0.801341	-0.466684	0.351014	0.502287	0.025454	0.032885	0.064607	0.600395	-0.078948	0.217869	0.161504	0.110585	-0.254642	-0.995172	-0.136274	-0.174147	0.147561
0.893536	-0.552453	0.750730	0.259959	-0.571716	0.299551	-0.333636	0.115294	-0.127928	0.770826	0.115297	-0.123464	0.586428	-0.705447	-0.237812	0.175351	-0.391204
1.116041	-0.164483	0.388171	0.709709	-0.652558	0.110080	-0.239885	-0.730322	0.119994	0.355476	0.248717	-0.442190	0.638816	-0.046321	-0.026448	0.254498	0.087812
0.555951	-0.602660	0.392225	1.152480	-0.773634	0.022636	-0.224813	0.010114	-0.403627	0.880864	0.662044	-0.721632	0.701265	-0.836322	0.097039	-0.114890	-0.409755
0.659872	-0.874767	0.294047	1.015411	-0.873777	-0.412969	0.026484	-0.435658	-0.211190	0.777648	0.427972	-0.356435	0.655402	-0.307961	0.373752	-0.388162	-0.215026
-0.367802	-0.891250	-0.144027	0.714120	-0.957598	-0.565633	0.187290	-0.319611	-0.425994	1.005746	0.331360	-0.369385	0.324190	-0.197755	0.573244	-0.248409	-0.355485
-0.319738	0.163062	0.071416	0.497199	0.034746	-0.069802	0.135196	-0.017937	-0.016815	0.508769	1.143005	-0.163568	0.167197	-0.647439	0.243976	-0.147895	0.231693
-0.178818	-0.197957	-0.109972	0.164633	0.040324	-0.079778	-0.233158	-0.113113	0.245856	0.640452	0.632837	-0.384848	0.374585	-0.434218	-0.317481	-0.078409	-0.438952
-0.096792	-1.258163	0.272555	-0.366325	-0.186670	-0.499945	-0.632881	0.487691	0.049432	0.885271	0.258664	-0.056172	-0.095267	-0.587953	-0.130163	-0.278072	-0.182440
0.379839	-0.908717	-0.320107	-0.084591	-0.192202	0.536751	-0.134620	1.382353	0.155555	0.501758	-0.034555	-0.014573	0.394548	-0.714799	-0.179854	-0.199644	-0.011137
0.452280	-0.207145	-0.361964	0.059514	-0.377480	0.840623	-0.137008	0.890412	0.670636	0.248149	-0.049185	-0.080605	0.433427	-0.505063	-0.261646	0.083096	0.346675
0.253100	0.426825	-1.133990	-0.250505	-0.104791	0.246396	-0.009308	0.761511	0.717129	-0.500263	-0.020695	0.365369	0.436744	-0.375162	-0.464701	-0.567552	-0.240981
0.176351	0.057272	-0.749722	-0.204431	-0.059900	1.062928	-0.224771	0.768071	0.114099	-0.745926	0.624663	0.360068	0.507921	-0.805896	0.260577	-0.160006	-0.146026
0.249212	0.626484	-0.556318	-0.237545	-0.238479	0.959644	-0.102891	0.721310	-0.283029	-1.060014	0.702863	0.466878	0.122212	-0.734705	0.243740	-0.355503	-0.049868
0.219786	0.223738	-0.520551	0.382508	-0.191163	0.302859	-0.457507	0.308388	-0.207705	-1.265696	0.298347	0.136310	0.641763	-0.432610	0.083246	0.155426	-0.139205
0.500188	0.136480	-0.493915	0.377616	-0.497944	0.581720	-0.137936	0.843007	-0.231757	-1.189571	0.050891	0.171504	0.430381	-0.484412	-0.273018	0.114217	0.221692
0.704327	-0.055906	-0.312122	0.558834	-0.003801	-0.339258	0.048068	0.779628	0.001969	-0.777486	-0.190262	0.394177	0.144100	-0.517715	0.375276	0.484943	-0.082811
0.725788	-0.236380	-0.450584	0.716592	-0.065544	-0.532626	0.266770	0.292236	0.222987	-0.862374	-0.351452	0.035305	-0.004738	-0.008967	0.465950	0.680983	0.125810
0.803362	-0.355479	-0.322155	1.146884	-0.293050	-0.571755	-0.325963	0.003955	-0.012642	-1.113311	-0.262152	-0.207757	-0.047764	-0.382718	0.484618	0.302007	0.118919
