trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
0.146287	-0.260849	-0.076577	0.220075	-0.317668	0.042098
-0.099993	0.320256	-0.089446	-0.457502	-0.040910	-0.137254
-0.183781	0.117970	-0.060562	0.202024	-0.079596	-0.031573
-0.092850	-0.113776	0.111582	-0.192115	0.318963	0.135746
0.232250	0.138665	-0.147639	-0.037132	-0.192175	0.050226
-0.127370	-0.249003	0.059606	0.032602	-0.209715	-0.020316
0.171505	0.260879	-0.317927	0.032072	0.164878	-0.238300
-0.014596	-0.238556	0.183489	-0.021019	-0.090852	-0.053327
-0.289820	0.393251	-0.039927	0.004826	0.012002	0.043963
0.099856	0.196684	0.182536	0.287951	-0.195146	-0.111815
-0.371744	-0.195083	0.053443	0.082710	0.331089	0.016958
-0.020424	-0.122115	0.048363	-0.258164	-0.145115	0.092955
0.161471	-0.208338	-0.119293	0.168734	0.069043	-0.031753
0.211293	-0.093849	0.124863	-0.039883	0.232497	-0.185471
0.027773	0.018390	0.060201	0.193172	0.167125	0.219423
0.145283	0.045931	0.091924	0.264406	-0.088170	0.586552
-0.071977	-0.151568	0.121410	-0.083935	-0.025216	0.226264
-0.201868	-0.242967	0.535959	-0.194541	-0.050987	0.155835
-0.160632	0.322209	-0.401747	-0.435415	-0.123840	-0.080907
0.444473	-0.251021	0.105866	0.156801	0.361754	0.487428
-0.160162	-0.326170	0.026387	0.043072	0.054917	0.047295
0.128017	-0.197770	0.285459	0.034688	0.245636	0.161971
-0.243508	-0.137118	-0.031125	0.065413	-0.245743	0.116703
0.218149	-0.178826	0.022750	-0.213118	0.231083	-0.031727
0.390650	-0.037533	0.299725	0.152177	-0.034864	0.268503
0.022804	0.020364	-0.068038	-0.198380	-0.203336	-0.205964
-0.176699	-0.024379	-0.346329	0.340787	-0.083349	0.066575
-0.283679	-0.035033	0.087852	0.096591	0.036398	0.397356
0.108631	-0.053615	0.395291	-0.209826	0.096235	0.001729
-0.068713	0.045110	0.071478	0.226195	-0.049580	-0.327775
-0.195461	-0.292820	-0.082474	-0.283757	-0.033674	-0.053192
0.051216	0.242234	0.227433	-0.119715	-0.309763	0.164190
-0.023477	0.163759	0.128565	0.112908	-0.106671	0.042719
0.049863	0.344821	0.060248	-0.155648	-0.351458	0.272295
-0.119743	0.010353	0.121046	-0.084641	-0.116099	-0.089161
0.037974	0.031822	0.049574	0.085244	0.448781	0.147816
0.300810	-0.083818	-0.151921	0.161357	-0.294426	0.079130
0.013659	-0.242466	0.235396	-0.003455	0.323706	0.066972
-0.010562	-0.367966	-0.117620	0.068271	-0.255440	0.144458
-0.115107	0.024389	0.122411	0.066969	-0.050270	0.057612
0.265206	0.212291	-0.165891	-0.233568	0.192143	-0.054981
0.137514	-0.183094	-0.158287	-0.044647	-0.321727	-0.098696
-0.321020	-0.034545	0.053177	0.026610	-0.024694	-0.295828
-0.375514	-0.290951	0.197624	0.221025	-0.071805	0.190382
0.306119	0.139572	-0.120688	0.124468	-0.012655	-0.088946
-0.311428	-0.017669	0.054322	0.004638	0.141698	0.238860
0.158468	-0.052133	-0.461158	-0.266496	0.008101	-0.356228
0.151405	0.050681	0.086296	-0.061777	0.070615	-0.374399
-0.154888	0.054200	-0.101492	0.120239	0.108615	0.006343
0.061251	0.156135	-0.065545	0.044926	-0.250336	0.361687
0.074395	0.123997	0.116621	0.108431	0.294943	-0.033242
-0.225918	0.237932	0.047600	-0.392044	-0.185942	0.088061
-0.101845	-0.288613	-0.177135	-0.175684	-0.198438	-0.059924
-0.006067	0.129839	-0.041418	0.096810	0.197574	0.006712
0.145155	-0.398102	-0.063925	-0.220579	-0.216924	-0.200447
-0.176631	-0.176607	0.181733	-0.135575	0.086484	0.055988
0.198625	-0.206194	0.368642	0.207029	-0.162531	-0.123288
0.106177	0.425031	0.238929	-0.008716	-0.001437	-0.052914
0.138180	0.076932	0.079154	-0.193187	-0.236491	-0.213474
0.136793	-0.050264	0.026548	-0.054255	-0.247154	-0.238132
0.186510	-0.028006	0.169922	0.299786	0.021822	-0.002102
-0.398194	-0.200521	-0.012883	0.405848	-0.092339	-0.212999
-0.431140	-0.038067	-0.189090	0.303453	-0.078741	0.027715
-0.079031	-0.164087	0.115745	0.132214	-0.124512	-0.394273
-0.245283	0.359659	-0.278423	-0.152516	-0.067539	-0.214588
-0.022432	0.081493	0.010625	-0.095615	0.081435	-0.008729
-0.248228	0.077553	0.011644	-0.093593	-0.036307	-0.115479
-0.001416	-0.070201	-0.194716	-0.058828	-0.045146	-0.122190
-0.054999	-0.051230	-0.151598	0.011917	-0.141338	0.110459
-0.112283	-0.347652	0.117287	0.459557	0.147632	-0.154558
-0.488874	0.175271	0.139674	-0.129116	-0.505785	-0.189731
0.317432	0.189787	-0.060453	-0.003646	-0.299609	0.105738
0.150691	0.175381	-0.312425	-0.152748	0.098977	0.180292
-0.210948	-0.041077	-0.019059	0.123972	-0.333166	0.154389
-0.289571	0.314830	0.417742	0.261078	0.070408	0.345057
-0.033308	-0.014524	-0.184104	-0.126082	-0.128373	-0.114571
-0.203005	0.048134	-0.267274	-0.008416	-0.064152	-0.142324
0.159143	0.094969	-0.065066	-0.009336	-0.258444	0.165128
0.131376	0.258980	-0.283847	-0.088377	0.201328	0.885232
0.148716	0.153243	-0.011110	-0.052894	0.120140	0.565690
0.008463	0.293334	0.009051	0.046574	-0.011248	0.131136
0.050462	0.216324	-0.119756	-0.013478	0.188959	0.281665
0.034572	0.014479	-0.018943	0.232150	-0.028052	-0.356468
0.167183	0.302753	0.075221	-0.563820	-0.035915	-0.382411
0.009218	0.160151	-0.002200	0.163127	-0.142426	0.063925
-0.188903	-0.053096	0.104873	-0.174319	-0.101959	-0.010471
0.076776	-0.137600	-0.103931	-0.154111	-0.149590	0.218319
0.073561	-0.170864	-0.371044	-0.123424	-0.029418	-0.235007
0.168986	0.095856	0.036610	0.100172	0.285138	0.066010
0.486683	0.132807	0.043838	-0.004616	0.064768	0.041574
-0.337972	-0.253103	0.120053	-0.344838	-0.115005	0.208457
0.170255	0.136429	-0.016723	0.022044	0.416588	0.287374
0.187168	0.402355	0.056720	0.293577	0.032126	0.026022
