roi_1	roi_2	roi_3	roi_4	roi_5	roi_6	roi_7	roi_8	roi_9	roi_10	roi_11	roi_12	roi_13	roi_14	roi_15	roi_16	roi_17
-0.837732	-0.158288	0.604315	-0.324380	-0.594882	1.148958	0.233810	0.471328	-0.058586	-0.271630	0.251444	-0.024153	0.552083	-0.297637	0.535966	1.403768	-1.091323
-0.623728	0.339877	0.081921	0.008300	-0.722909	0.987767	-0.082190	0.316608	-0.664431	-0.357335	0.424293	-0.366350	0.381275	-0.399312	0.680336	0.440895	-0.647659
0.493649	0.772349	-0.028028	-0.022286	-0.343405	0.676981	0.432485	0.057160	-0.473691	0.328841	0.281248	-0.675904	0.026086	0.253548	0.343889	0.127167	-0.636099
0.620945	0.582290	0.115463	0.424184	-0.690975	0.358917	0.334029	-0.155117	0.349491	0.434966	0.536606	-1.144289	-0.952865	0.551077	0.661836	0.134404	-0.511894
0.379972	0.203131	-0.032164	0.222105	0.112280	0.810160	0.370278	-0.530461	0.058968	0.675000	0.260733	-0.908790	-0.698960	0.871810	0.387378	-0.172066	-0.204462
0.265938	0.383553	-0.097421	0.425738	-0.517220	0.955660	0.696597	-0.316520	0.444178	1.068038	-0.093541	-1.188404	-0.416444	0.063496	0.694530	-0.339652	0.083099
0.447360	0.220895	-0.556635	0.319618	-0.061639	1.032608	0.963027	0.170912	0.334212	0.799949	-0.030811	-1.134142	-0.450727	-0.034389	0.822530	-0.227161	0.074799
0.757184	-0.334297	-1.159128	0.529998	-0.420676	1.009937	0.714535	-0.489253	0.017400	1.026119	-0.120541	-0.881640	-0.557401	-0.376368	0.481019	-0.013359	-0.083568
0.403974	-0.027643	-0.702151	-0.353947	-0.179092	0.880904	0.852032	0.296128	0.345977	1.187371	-0.047477	-0.588702	-0.008168	-0.146261	0.836900	-0.087722	-0.062642
-0.058973	-0.579039	-0.618149	-0.342669	-0.277769	0.788653	0.922101	0.066320	-0.225052	0.845049	-0.083337	-0.636515	-0.046026	-0.427586	0.777628	-0.542620	-0.100010
0.186945	-0.569628	-0.282091	-0.525555	0.169282	0.718189	0.378678	0.318653	-0.062741	0.808559	0.747624	-0.064536	-0.476279	-0.492990	0.252783	-0.781032	-0.270047
-0.586576	-0.311293	-0.206947	0.205397	0.056693	0.498549	0.010673	0.498722	-0.048684	1.051723	0.342629	-0.077484	-0.076426	-0.714122	-0.363385	-0.919311	-0.408882
-0.203858	-0.174822	-0.474189	-0.050508	-0.057058	0.809950	0.074248	0.529150	-0.278575	0.713766	1.084964	-0.236167	-0.294134	-1.418991	-0.178176	-0.216978	-0.759513
-0.236552	0.173199	0.139000	0.056722	-0.182924	0.423904	0.143045	0.190555	-0.166186	1.115401	0.790499	-0.579460	-0.354703	-0.851140	-0.305360	0.065143	-0.603054
-0.231382	-0.281136	0.310522	-0.029420	-0.171343	0.247529	0.232484	0.738263	0.120270	0.749737	0.675656	-0.305528	-0.285067	-0.610390	-0.229245	-0.121542	-0.621632
-0.074550	-0.538559	0.602566	0.220692	-0.229797	-0.170620	0.077692	0.478727	-0.088131	0.661558	0.621919	0.143585	-0.449552	0.047289	-0.132610	-0.068078	-0.502827
-0.109211	-0.470682	-0.198715	0.335546	-0.461186	-0.077854	0.812208	0.280579	-0.464504	0.384419	0.786273	0.263171	-0.536849	-0.361492	-0.568278	-0.144073	-0.247410
0.021064	0.174219	-0.386910	0.169906	-0.224463	-0.317633	0.663885	-0.417346	-0.464883	-0.245341	0.491224	0.527600	-0.494007	-0.245203	-1.106147	-0.311461	-0.148436
-0.336561	0.663553	-0.318505	-0.401626	-0.674138	-0.371371	1.095288	-0.663885	-0.494125	-0.647713	-0.037728	-0.070898	-0.121885	-0.423418	-0.813464	-0.766998	0.177063
-0.697525	0.820832	-0.463559	-0.132990	-0.152048	-0.574316	0.467307	-0.294572	-0.363762	-0.547453	0.188375	-0.120151	-0.246397	-0.015654	-0.961753	-0.425263	0.710474
-0.722318	0.749133	-0.334443	-0.601416	-0.215142	-0.411595	0.689986	0.429255	0.166355	-0.501758	-0.256485	0.422362	-0.021654	0.714344	-1.445590	-0.302417	0.644959
-0.769371	0.168080	-0.245716	-0.187737	1.023672	0.118477	0.786132	0.188425	-0.190481	-0.736605	-0.351424	0.062262	0.127397	1.051319	-0.919380	0.101281	0.281387
-1.244300	0.102562	-0.462966	-0.299658	0.671296	0.462316	1.223659	0.301656	-0.189222	-0.627733	-0.217492	-0.076804	0.223046	1.146220	-0.423803	-0.036277	0.274851
-0.664679	-0.025874	0.152764	-0.727377	0.384885	0.726872	0.667052	0.605433	-0.066580	-0.566959	-0.390539	-0.342642	0.365865	0.720244	-0.371240	-0.365335	0.590166
-0.618206	0.521175	0.549018	-0.794720	-0.017121	0.678283	0.122818	0.546194	-0.035777	-0.226233	0.307074	-0.543079	0.390757	0.566951	-0.275687	0.012490	-0.515751
-0.787616	0.297094	0.391981	-0.291238	0.225241	0.743625	-0.121561	0.793095	0.971755	-0.713792	0.792206	-0.488454	0.138560	0.580229	0.339924	0.436857	0.079367
-0.430786	0.302734	0.193417	-0.155831	0.588140	0.386932	-0.036017	0.155803	0.948457	0.114490	0.502335	-0.584133	0.115710	0.009440	0.130749	0.718143	-0.160778
-0.071815	0.123640	0.299446	0.285760	0.980622	1.044596	0.849288	0.954117	0.140074	0.125321	0.306635	-1.032412	0.320958	-0.691323	0.039680	0.329315	-0.603403
0.255131	-0.173270	0.183970	0.554254	1.014462	0.644869	0.630409	0.674210	0.304721	-0.010088	0.556454	-0.607763	0.715562	-0.282601	0.315917	0.549426	-0.236534
0.158250	0.184785	-0.165702	0.380268	-0.195409	-0.146956	0.622846	0.463811	0.406910	0.391202	0.852649	0.036329	0.523305	0.190489	0.352957	0.852485	0.110856
0.085060	0.149778	-0.316065	-0.391067	0.100913	0.413245	0.151385	0.626057	-0.145401	0.375338	1.097838	-0.138502	-0.137837	-0.073763	0.215178	0.752335	0.136517
0.326974	-0.375186	0.056732	-0.358311	0.050457	0.097874	0.408856	-0.008619	-0.333796	0.072424	0.612234	0.436811	-0.276945	0.265990	-0.320690	0.020422	0.561260
-0.016017	0.491335	-0.165308	-0.242412	0.859759	-0.041460	0.036763	-0.138710	-0.243206	-0.237466	0.509710	0.281259	-0.468504	-0.117023	-0.617217	0.779851	0.100275
0.599606	0.080048	-0.341253	-0.218881	0.692762	-0.025813	0.252191	0.433540	0.326630	-0.208525	0.874441	-0.016639	-1.256578	0.151383	-0.605921	0.908077	0.127285
0.399970	0.607773	-0.865651	0.435619	0.317550	0.082532	0.335578	0.135159	0.532366	-0.202304	0.244744	-0.234634	-0.698640	0.239338	0.157904	0.506208	0.027273
0.485795	0.505339	-0.302452	0.455932	0.218823	-0.197679	0.537274	-0.267376	0.293925	-0.083850	0.086118	-0.080382	0.054045	0.016609	-0.090674	0.312863	-0.285606
0.583981	0.185742	-0.199914	0.210630	-0.075228	-0.790217	0.142756	-0.209959	0.162553	0.464880	-0.211256	0.656335	-0.329372	-0.590568	-0.370449	0.442515	0.009448
0.202930	0.160244	0.142498	0.010405	0.123466	-0.208341	0.244461	-0.065995	0.327143	0.073655	-0.297451	0.309337	-0.488397	-1.127238	-1.145394	0.707884	0.255411
-0.003559	0.294436	-0.711074	0.230207	-0.100314	0.259270	-0.114947	0.119134	0.678104	0.036666	0.113253	-0.003844	-0.430174	-0.726888	-0.871637	-0.237029	-0.098219
0.209733	-0.262113	-0.867495	0.224224	-0.607385	0.422756	-0.848436	0.165609	0.348182	0.244325	0.071325	-0.046240	-0.649471	-0.456796	-0.757663	-0.233573	-0.064778
0.511556	-0.419176	0.085050	-0.080844	-0.641045	0.159730	-0.698694	-0.018571	0.470666	0.226729	0.000713	0.175280	-0.294900	0.426969	0.065440	-0.560887	0.318770
0.593479	-0.619729	0.235195	0.573466	-1.485589	0.861449	-0.497553	-0.134328	0.322887	0.927086	-0.407098	0.271034	-0.400867	0.465077	-0.115581	-0.188237	-0.227883
-0.440967	-0.608525	0.186448	0.414217	-1.260075	0.678131	-0.644041	0.340304	0.274913	1.116955	-0.308258	0.068368	-0.245121	0.443984	0.324264	0.020926	-0.730347
-0.615267	-0.510531	0.417729	0.617078	-0.448562	0.435857	0.295031	0.102741	0.489535	1.150226	-0.259798	0.156098	-0.010768	0.157461	0.281976	-0.032255	-0.541507
-0.366088	-0.063564	0.307174	0.140878	-0.713079	0.494698	0.432925	0.104899	0.791335	0.833045	-0.191269	0.206199	-0.173582	0.227962	0.468553	0.114646	-0.620159
-0.080792	0.273383	-0.248724	0.324586	-0.282034	0.329708	0.555303	0.362120	0.472385	0.000438	0.072572	0.300505	-0.353148	0.071258	0.567704	0.248843	-0.108890
0.290541	0.653578	0.546394	0.233880	0.120615	0.477468	0.025791	0.689810	0.202404	0.036886	0.676078	0.068269	-0.370478	-0.072608	-0.242230	0.473187	-0.289977
0.669110	0.723319	0.180580	-0.541652	0.382234	0.276641	0.103146	0.302598	0.340615	-0.019992	0.667772	0.289800	-0.074449	-0.623695	0.224602	-0.567608	0.018357
-0.002890	0.310896	-0.138803	-0.908141	0.188634	-0.216485	-0.941592	0.045558	0.098703	0.196780	0.159104	0.108531	-0.087915	-0.911341	0.787108	-0.379424	-0.148106
0.498385	0.487530	-0.496009	-0.214648	0.327168	-0.083805	-0.632139	0.288222	-0.090040	0.215964	0.316888	-0.024220	0.134963	-0.968631	0.881401	-0.288408	0.047256
0.387617	1.178455	-0.725737	0.445486	0.450538	-0.221853	-0.018301	0.214959	-0.179913	0.266045	0.091027	-0.135910	0.289911	-0.843215	0.564078	0.577612	0.155383
0.365309	0.966838	-0.662928	0.120112	0.443569	-0.598242	-0.087890	0.386290	-0.417123	0.608020	0.102803	-0.068237	0.089495	-0.678151	0.161813	0.450526	-0.185519
0.514971	0.133056	-0.400212	0.404081	0.155801	-0.118898	-0.414896	0.701203	-0.046488	0.183361	0.206579	0.006660	-0.223722	0.080639	0.636683	0.164171	-0.976197
0.409384	0.694485	-0.739402	0.058618	0.254935	-0.917371	0.705302	0.998958	-0.229651	0.294908	0.131213	0.065381	0.046450	0.652346	0.415811	-0.107525	-0.233982
0.730769	0.429249	-0.924152	-0.022539	0.022862	-0.748147	0.784639	0.972200	0.406814	0.055589	-0.115074	-0.160768	-0.712103	0.488819	-0.334249	-0.256226	0.079293
0.509846	0.330572	-1.334577	-0.428784	0.491593	-0.048518	0.426033	0.762728	0.449682	0.338598	0.038383	0.002433	-0.680434	0.247607	-0.137592	0.387023	0.485181
0.108420	0.320653	-0.919985	-0.843435	0.122789	0.034774	0.545673	0.808226	0.137397	-0.259943	0.130977	-0.471553	-0.806462	-0.135312	0.576973	0.152649	0.296079
0.644199	-0.150772	0.262260	0.090738	0.112308	-0.197286	0.292122	0.454616	-0.161769	0.082022	0.001923	-0.338587	-0.688253	-0.241884	0.407320	0.147354	0.531885
0.675827	0.143644	1.034934	0.202526	0.239378	-0.784754	-0.044151	0.686468	0.183586	-0.005651	-0.368137	-0.201350	-0.078201	0.036993	-0.258395	0.202152	0.207045
0.251540	-0.408875	0.536059	0.350816	0.098640	-0.223547	0.101712	0.652081	-0.069391	0.209497	0.305891	-0.238429	-0.099441	-0.058635	-0.291903	0.269367	0.269962
0.604785	-0.457729	0.775052	0.408991	-0.459746	-0.414781	0.227033	0.265123	0.178435	0.690106	0.475946	0.162084	0.119399	0.157905	-0.178108	0.683181	-0.088124
0.675048	-0.015278	0.778130	0.876896	-0.806081	-0.249097	0.297352	-0.114123	0.001558	0.309733	1.394274	-0.091624	0.221905	0.007876	0.039741	0.506269	0.273600
-0.539592	-0.064918	0.936021	0.834425	-0.390306	-0.455462	0.186169	0.097831	-0.383355	1.077750	0.930618	-0.014394	0.504921	0.328203	0.186684	-0.503710	-0.131662
