trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
-0.026340	0.262092	-0.216680	0.327993	-0.020646	0.026254
0.187922	-0.358168	-0.232026	0.176208	0.421436	-0.253126
0.130478	0.051078	-0.055190	0.161015	-0.050220	-0.067259
-0.070795	0.252899	-0.407575	-0.276661	0.237292	0.012770
-0.083836	0.109520	-0.195429	0.257518	-0.063307	0.176496
0.107589	0.049959	0.024566	0.085458	0.525529	0.016019
-0.292589	0.076294	-0.004689	-0.004081	-0.115855	0.030819
-0.190768	-0.030899	0.313161	-0.377582	-0.351650	0.269698
-0.323635	0.011444	-0.257588	0.142420	0.102862	-0.228966
-0.115103	0.196715	-0.040315	-0.137494	0.078047	-0.157930
-0.073888	-0.091401	-0.294873	-0.096724	0.250177	-0.254728
0.126241	-0.096139	-0.042104	-0.122549	0.001524	0.207593
0.175274	0.217941	0.055015	-0.097481	0.125696	-0.162228
-0.166607	-0.217005	-0.076174	0.082299	-0.446295	-0.273861
0.181743	0.418706	-0.044070	-0.161884	-0.389768	-0.225281
-0.476605	-0.189361	0.183300	-0.075482	-0.073406	0.051818
0.020907	-0.270457	0.250327	0.367517	-0.000867	0.368416
-0.348352	-0.041783	0.107696	0.229973	-0.194443	0.423784
-0.113445	0.152879	-0.115689	-0.109951	-0.111723	0.202448
-0.386206	0.149197	0.312576	0.271929	0.392519	-0.061136
0.227812	0.165801	0.217005	-0.170719	-0.231483	0.115840
0.290640	0.073495	-0.148637	0.012060	-0.149014	-0.070386
-0.051150	-0.194742	-0.072354	0.337914	-0.158239	0.200551
0.056319	0.119060	0.136995	-0.000400	-0.020121	-0.299639
-0.179817	0.041548	0.000811	0.217940	-0.083997	0.035993
0.135561	0.209910	-0.203691	0.022043	0.165963	0.119634
0.080330	-0.070066	0.236224	-0.139915	0.016444	-0.029192
-0.093173	-0.037496	-0.034667	0.150020	-0.085493	-0.302007
-0.435681	0.206403	-0.304985	-0.196250	0.095932	0.044362
0.023633	0.010776	0.154778	0.274877	0.103012	-0.015973
0.592354	0.087006	0.101768	0.021567	-0.002471	0.346215
-0.218108	0.153168	-0.238695	0.166292	0.052535	-0.293983
0.059822	-0.280646	0.036723	-0.130214	-0.039741	-0.141249
0.011368	0.252348	-0.025545	-0.149533	0.012114	0.197909
0.015587	-0.407635	0.130331	0.068109	-0.030947	-0.039333
0.238910	0.077127	0.268739	-0.065952	-0.085607	-0.061124
0.351670	-0.058214	0.049176	-0.212199	-0.095309	-0.318049
0.210172	-0.115229	-0.184546	-0.446296	-0.167733	0.051710
-0.305353	-0.033729	0.356167	0.061605	0.250771	0.148529
-0.364008	0.059741	-0.276145	-0.259070	-0.259971	0.063090
-0.259247	0.141963	-0.126882	0.240409	-0.130319	0.050124
0.022988	0.516622	-0.173765	0.037334	0.121695	-0.087182
-0.030232	-0.211930	-0.182539	-0.208152	-0.014485	0.447229
