roi_1	roi_2	roi_3	roi_4	roi_5	roi_6	roi_7	roi_8	roi_9	roi_10	roi_11	roi_12	roi_13	roi_14	roi_15	roi_16	roi_17
-0.645628	0.565728	0.538952	0.453539	0.074837	0.537637	0.303048	0.035021	-0.215152	-1.085826	0.926611	-0.894704	-0.061375	0.330572	-0.523500	0.898233	-0.015659
-0.400578	0.150432	0.600840	0.966582	0.404354	0.345552	0.492850	0.652453	0.510754	-0.903647	0.134236	-0.187246	-0.372042	-0.075052	-0.119440	0.734385	-0.391654
-0.017501	0.015903	1.192427	0.655118	0.218646	0.502446	0.552595	-0.137843	-0.079019	-1.091179	0.049881	0.282363	-0.106430	0.152693	-0.400192	0.294629	-0.986201
0.014509	-0.213239	0.630710	0.088099	0.389611	0.125844	0.957041	-0.140484	0.292947	-0.877966	0.208782	0.018248	-0.581092	-0.187848	-0.225082	0.390644	-0.847905
0.044546	0.612712	0.343635	0.470951	0.799294	0.075335	0.818424	-0.362863	0.151826	-0.548164	0.926575	0.620951	-0.412944	-0.488323	-0.099544	0.075881	-1.093694
0.323430	0.700614	0.428064	0.648685	1.159605	-0.404325	0.375535	-0.482760	0.060422	-0.506127	0.122570	0.574367	-0.436072	-0.686352	0.571861	-0.117835	-0.669744
0.561673	0.044855	-0.018118	0.920526	0.620242	-0.266961	0.428526	-0.420671	-0.558195	-1.020409	0.479307	0.381346	-0.245102	-0.454908	0.167507	-0.100628	-0.868359
0.097367	0.153506	-0.073137	0.776583	0.697910	-0.008595	0.107577	-0.163995	-0.402841	-0.697479	0.923683	0.407773	-0.202429	0.569855	-0.061828	-0.130130	-0.926057
0.446700	-0.443007	-0.438765	0.929043	0.119456	0.211134	0.654431	0.017888	-0.404357	-0.132495	0.395909	0.635473	-0.185484	0.323473	-0.214929	-0.143761	-0.208480
0.617157	-0.457692	0.182162	0.733115	0.215528	0.379862	0.681668	0.080098	-0.260152	-0.334577	-0.106012	0.360549	-0.421908	0.335992	0.488309	0.037897	-0.111554
0.246805	-0.391836	0.487295	0.451256	-0.697903	0.805869	0.985784	-0.064114	0.020505	0.042601	0.364993	0.218125	-0.129486	0.543676	0.959698	-0.380177	-0.057378
0.592744	0.171557	0.431249	0.038433	-0.609717	0.747040	0.410598	-0.033263	0.955014	-0.330115	0.577484	0.364381	0.313479	0.513988	0.832156	-0.284154	0.251660
