trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
0.090103	0.040602	0.137840	0.107625	-0.022579	-0.059918
-0.069387	0.034012	-0.222301	-0.234709	0.164987	-0.202641
0.097515	-0.013738	-0.114665	0.292578	-0.026138	-0.089849
-0.073361	0.326867	-0.112452	-0.231735	0.074154	-0.038366
0.386248	-0.159976	-0.281691	-0.215875	0.226515	0.405081
-0.022287	0.274883	0.403056	-0.445790	-0.164803	0.035343
0.237807	0.089763	0.360119	0.119550	0.081849	-0.093197
-0.217773	0.246044	-0.355649	-0.129858	-0.149780	0.161275
-0.213903	-0.093293	-0.239866	0.078099	0.124322	-0.103296
-0.553353	-0.008878	-0.031072	-0.181538	0.003728	0.266213
0.117092	-0.204597	0.088249	-0.031752	0.312220	-0.112191
-0.045575	-0.086891	0.002394	-0.224722	0.181296	0.223148
0.414380	-0.194283	-0.241528	-0.076324	0.356511	0.152327
-0.225639	-0.157616	-0.019823	0.215069	0.006413	-0.157597
0.171450	-0.446679	-0.318729	-0.059834	-0.253323	-0.202720
0.051534	0.327854	0.003193	-0.008196	-0.018937	0.070973
-0.047733	-0.218193	-0.146838	0.036036	-0.301610	-0.083827
-0.053739	0.050361	-0.021020	-0.002181	-0.128569	-0.020993
0.093146	0.104364	0.163112	0.115688	-0.155208	0.015935
-0.045070	0.041312	-0.227586	-0.154215	-0.105431	-0.164703
-0.086189	-0.156659	0.112309	-0.027112	0.130643	-0.116173
-0.319074	-0.221569	-0.310798	-0.253702	0.110451	-0.418128
-0.223765	0.115591	-0.111217	-0.014523	0.143615	0.032357
0.150585	-0.015757	-0.602464	-0.193121	-0.036097	-0.217973
0.176876	0.293691	-0.149464	0.203090	-0.476528	0.087687
0.315061	-0.092637	0.121606	0.335678	-0.029173	-0.400496
0.074695	0.126961	0.180855	0.260953	0.227248	-0.003697
0.143213	-0.094447	-0.182120	0.075674	0.215719	0.097732
0.394426	-0.078357	-0.208349	-0.175945	0.411522	0.075946
0.215990	-0.177082	-0.319835	-0.089969	0.382581	0.052414
-0.404510	0.074979	-0.114634	-0.061298	0.036541	-0.070170
-0.248619	-0.017357	0.074507	-0.018564	-0.095573	-0.254192
0.146443	-0.153171	-0.134158	0.110610	0.150003	0.214029
-0.039106	0.044654	-0.063444	-0.032663	0.084491	-0.182457
0.158031	-0.053136	-0.260401	-0.045755	-0.064648	0.088102
0.285527	0.223688	0.238775	-0.201255	0.307367	-0.081418
0.103529	0.054576	0.139750	-0.532410	-0.191693	-0.112903
0.119860	0.048020	-0.142598	0.162403	0.052285	0.133821
-0.227983	0.131235	-0.039694	-0.012925	0.045996	-0.071462
