trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
-0.120343	0.205688	0.155439	-0.134521	0.117885	-0.003500
-0.040549	0.261960	-0.314947	-0.164582	0.121556	-0.012334
-0.019251	0.350484	0.098463	0.297764	-0.026676	-0.044115
0.352543	-0.047772	-0.179741	0.520312	0.378071	-0.014682
0.243664	-0.507123	0.131285	0.000026	0.335487	0.249158
0.197544	-0.036974	0.239862	0.122837	0.120087	0.421991
0.202382	0.202842	0.277125	0.043201	0.295470	-0.046348
-0.176422	-0.116468	0.170567	0.351965	0.117053	-0.129790
-0.016636	0.143642	-0.044214	0.050181	-0.340803	0.140579
-0.010850	-0.200840	0.029768	0.427640	-0.196621	-0.368042
-0.148794	-0.016822	-0.138793	-0.260930	-0.037358	-0.164528
0.313865	-0.133416	0.100024	-0.038227	0.231720	0.282247
-0.023989	-0.184003	0.116025	-0.160132	0.403684	-0.195668
0.030718	0.101733	0.201442	0.034526	0.000703	0.022293
-0.205048	0.062932	0.108223	-0.358947	-0.428958	0.113160
0.026932	0.156859	-0.200954	0.135711	-0.292189	0.227434
-0.016134	-0.247559	0.073755	0.212534	0.460573	0.246784
-0.293711	-0.076386	0.117525	0.065094	-0.049301	0.088784
0.101573	0.115341	-0.015818	0.069743	-0.012634	-0.235147
-0.143119	0.398983	0.066853	0.067157	0.050175	0.164380
0.346424	0.266041	-0.146483	0.005518	-0.081623	0.405851
-0.040333	0.168354	-0.147799	-0.096164	-0.143877	0.031595
0.233729	-0.078807	0.148343	0.127756	0.022069	0.047621
0.111575	0.076910	0.364426	0.000450	0.169022	0.091143
-0.048242	0.250622	0.168230	0.013275	-0.287008	0.288913
0.197377	-0.146749	0.325013	0.005569	-0.404549	0.062632
-0.211068	-0.066804	0.028907	-0.016939	-0.072072	0.202948
-0.057732	-0.140791	0.106541	0.174349	0.262055	0.031073
0.024425	0.045637	0.368549	-0.206799	0.098381	0.391379
-0.015440	-0.149366	0.345396	0.264095	-0.017656	-0.000185
-0.003232	0.138366	0.164927	-0.019577	0.129558	0.237608
0.014144	-0.021706	-0.013691	-0.250949	-0.128823	-0.011627
0.080058	-0.059227	-0.064752	0.170078	-0.011284	0.075205
0.005567	-0.368491	0.133417	0.129738	-0.338120	0.105091
-0.307193	0.304263	0.067532	-0.092693	-0.054785	-0.061520
-0.054597	-0.404834	0.192947	-0.105899	0.192458	0.011603
0.062808	0.389320	-0.087675	-0.168710	0.391889	0.238458
-0.318616	0.006988	0.085031	0.179686	-0.344249	-0.132854
-0.248290	0.195907	-0.280793	-0.257710	-0.084440	-0.162137
-0.061588	-0.335229	-0.230159	-0.268669	0.006090	0.486326
0.178565	-0.409266	0.029422	0.112232	0.101119	0.264755
0.149493	0.001465	0.510542	-0.040980	-0.104090	-0.101201
0.379180	-0.090007	0.054005	0.169762	-0.095726	0.130829
-0.350684	-0.173870	0.077978	0.139818	-0.164588	0.237603
0.119908	0.100117	-0.287813	0.367650	0.052033	0.225295
-0.091520	0.205285	-0.015281	-0.059405	0.126074	-0.015234
0.084845	-0.173496	-0.184280	0.258635	-0.183367	0.143781
0.142418	0.132323	-0.081024	-0.127026	0.087625	0.070630
-0.090018	0.167479	-0.223364	-0.002052	-0.088333	-0.022274
0.031761	-0.008910	0.052609	0.228032	0.000552	0.126169
-0.032195	0.174471	-0.469006	0.150022	-0.172213	-0.246063
-0.102119	-0.100241	-0.123626	0.094808	0.043140	-0.119607
-0.063208	-0.133279	0.139863	0.021488	-0.047532	0.071651
-0.212270	0.343756	-0.046761	-0.171493	0.213871	-0.147498
-0.405939	0.329441	-0.071459	0.198962	-0.195450	-0.198962
0.041025	-0.187872	-0.304917	-0.304560	0.214710	0.470473
-0.048080	-0.294327	-0.320498	-0.168695	0.147281	-0.050467
-0.030285	-0.080384	0.119607	0.077448	-0.146168	-0.100444
0.149600	-0.145399	0.065060	-0.221201	-0.422439	0.443541
0.017362	-0.238531	-0.319435	0.067809	-0.243522	-0.295660
